Timestamp,What sex are they?,How tall are they?,What units did you use for height?,Would they rather eat:,What continent were they born on?,What is the last digit of their UMID?
9/2/2025 15:17:48,Female,64,Inches,Burrito,North America,2
9/2/2025 15:17:52,Male,178,Centimeters,Phở,Asia,0
9/2/2025 15:20:31,Male,172,Centimeters,Phở,Asia,0
9/2/2025 15:21:09,Female,65,Inches,Pizza,North America,3
9/2/2025 15:21:12,Male,174,Centimeters,Pizza,Asia,0
9/2/2025 15:21:16,Male,70,Inches,Burrito,Asia,2
9/2/2025 15:21:19,Male,60,Inches,Kebab,North America,4
9/2/2025 15:21:30,Male,180,Centimeters,Sushi,Asia,2
9/2/2025 15:21:31,Male,165,Centimeters,Kebab,Asia,1
9/2/2025 15:21:31,Male,71,Inches,Pizza,North America,9
9/2/2025 15:21:36,Female,65,Inches,Sushi,North America,2
9/2/2025 15:21:36,Male,67,Inches,Sushi,Asia,2
9/2/2025 15:21:36,Female,69,Inches,Burrito,North America,3
9/2/2025 15:21:37,Male,71,Inches,Burrito,North America,2
9/2/2025 15:21:36,Male,72,Inches,Burrito,North America,1
9/2/2025 15:21:37,Male,70,Inches,Pizza,North America,6
9/2/2025 15:21:38,Female,64,Inches,Phở,North America,9
9/2/2025 15:21:38,Male,170,Centimeters,Sushi,North America,7
9/2/2025 15:21:38,Female,69,Inches,Sushi,North America,7
9/2/2025 15:21:39,Male,73,Inches,Burrito,North America,8
9/2/2025 15:21:39,Female,171,Centimeters,Sushi,Asia,0
9/2/2025 15:21:40,Male,68,Inches,Pizza,North America,8
9/2/2025 15:21:40,Male,66,Inches,Sushi,North America,1
9/2/2025 15:21:40,Male,69,Inches,Sushi,North America,3
9/2/2025 15:21:40,Male,72,Inches,Stir-fry,North America,2
9/2/2025 15:21:42,Female,63,Inches,Sushi,North America,8
9/2/2025 15:21:47,Male,74,Inches,Curry,North America,4
9/2/2025 15:21:47,Female,164,Centimeters,Sushi,Asia,0
9/2/2025 15:21:48,Female,58,Inches,Burrito,North America,7
9/2/2025 15:21:50,Female,160,Centimeters,Curry,Asia,6
9/2/2025 15:21:51,Male,66,Inches,Phở,North America,0
9/2/2025 15:21:51,Male,175,Centimeters,Stir-fry,Asia,6
9/2/2025 15:21:54,Female,60,Inches,Phở,North America,0
9/2/2025 15:21:54,Female,62,Inches,Pizza,North America,6
9/2/2025 15:21:55,Male,72,Inches,Burrito,North America,3
9/2/2025 15:21:55,Male,70,Inches,Sushi,North America,1
9/2/2025 15:21:55,Female,65,Inches,Pizza,North America,0
9/2/2025 15:21:55,Male,73,Inches,Sushi,Asia,9
9/2/2025 15:21:56,Male,183,Centimeters,Phở,Asia,6
9/2/2025 15:21:56,Male,70,Inches,Stir-fry,Asia,8
9/2/2025 15:21:57,Female,173,Centimeters,Phở,North America,6
9/2/2025 15:21:57,Female,176,Centimeters,All of these disgust me,Asia,1
9/2/2025 15:21:57,Female,164,Centimeters,Stir-fry,Asia,4
9/2/2025 15:21:59,Male,68,Inches,Pizza,North America,4
9/2/2025 15:22:02,Male,67,Inches,Phở,Europe,2
9/2/2025 15:22:02,Male,67,Inches,Sushi,North America,0
9/2/2025 15:22:03,Male,71,Inches,Pizza,North America,6
9/2/2025 15:22:03,Female,66,Inches,Sushi,North America,9
9/2/2025 15:22:04,Male,69,Inches,Sushi,North America,8
9/2/2025 15:22:04,Female,64,Inches,Pizza,North America,2
9/2/2025 15:22:05,Male,66,Inches,Sushi,North America,6
9/2/2025 15:22:08,Female,66,Inches,Burrito,North America,0
9/2/2025 15:22:08,Male,180,Centimeters,Sushi,North America,1
9/2/2025 15:22:08,Female,165,Centimeters,All of these disgust me,Asia,6
9/2/2025 15:22:10,Male,175,Centimeters,Sushi,North America,2
9/2/2025 15:22:11,Female,161,Centimeters,Sushi,Asia,1
9/2/2025 15:22:11,Male,70,Inches,Sushi,North America,1
9/2/2025 15:22:12,Female,162,Centimeters,Sushi,Asia,7
9/2/2025 15:22:12,Male,71,Inches,Sushi,Asia,9
9/2/2025 15:22:13,Female,155,Centimeters,Pizza,Asia,5
9/2/2025 15:22:13,Male,59,Centimeters,Sushi,North America,8
9/2/2025 15:22:14,Female,170,Centimeters,Sushi,Asia,8
9/2/2025 15:22:14,Male,165,Centimeters,Stir-fry,Asia,6
9/2/2025 15:22:14,Female,165,Centimeters,All of these disgust me,Asia,6
9/2/2025 15:22:15,Male,69,Inches,Sushi,North America,1
9/2/2025 15:22:17,Female,63,Inches,Stir-fry,North America,1
9/2/2025 15:22:17,Male,175,Centimeters,Sushi,North America,8
9/2/2025 15:22:17,Male,69,Inches,Sushi,North America,7
9/2/2025 15:22:19,Male,180,Centimeters,Sushi,Asia,3
9/2/2025 15:22:21,Female,67,Inches,Curry,North America,5
9/2/2025 15:22:22,Female,168,Centimeters,Sushi,Asia,4
9/2/2025 15:22:23,Female,163,Centimeters,Pizza,Asia,9
9/2/2025 15:22:23,Male,181,Centimeters,Kebab,Asia,5
9/2/2025 15:22:24,Male,73,Inches,Stir-fry,North America,9
9/2/2025 15:22:26,Male,68,Inches,Sushi,North America,0
9/2/2025 15:22:26,Female,65,Inches,Pizza,North America,9
9/2/2025 15:22:31,Male,66,Inches,Pizza,North America,3
9/2/2025 15:22:31,Male,68,Inches,Sushi,North America,7
9/2/2025 15:22:32,Male,170,Centimeters,Sushi,Asia,4
9/2/2025 15:22:33,Male,70,Inches,Phở,North America,3
9/2/2025 15:22:36,Male,67,Inches,Curry,Asia,2
9/2/2025 15:22:37,Male,69,Inches,Phở,North America,4
9/2/2025 15:22:38,Male,172,Centimeters,Phở,Asia,0
9/2/2025 15:22:38,Male,68,Inches,Pizza,North America,0
9/2/2025 15:22:41,Male,65,Inches,Pizza,North America,6
9/2/2025 15:22:41,Female,64,Inches,Sushi,North America,9
9/2/2025 15:22:41,Female,64,Inches,Stir-fry,Asia,2
9/2/2025 15:22:46,Female,64,Inches,Sushi,North America,0
9/2/2025 15:22:46,Female,65.5,Inches,Sushi,North America,5
9/2/2025 15:22:47,Male,173,Centimeters,Kebab,Europe,9
9/2/2025 15:22:53,Male,178,Centimeters,Sushi,North America,8
9/2/2025 15:22:59,Female,168,Centimeters,Pizza,Asia,2
9/2/2025 15:23:01,Male,73,Inches,Pizza,North America,7
9/2/2025 15:23:02,Male,71,Inches,Phở,North America,3
9/2/2025 15:23:03,Female,65,Inches,Sushi,Asia,0
9/2/2025 15:23:03,Female,64,Inches,Stir-fry,North America,4
9/2/2025 15:23:03,Female,178,Centimeters,Stir-fry,North America,1
9/2/2025 15:23:49,Male,76,Inches,Burrito,North America,6
9/2/2025 15:23:54,Male,69,Inches,Pizza,North America,8
9/2/2025 15:23:59,Male,180,Centimeters,Sushi,North America,4
9/2/2025 15:24:28,Male,72,Inches,Sushi,North America,2
