Timestamp,What is your sex?,What is your height? (use whichever units you prefer)
8/26/2025 7:23:17,Male,72
8/26/2025 14:51:26,Male,170
8/26/2025 14:51:26,Female,164
8/26/2025 14:51:28,Male,6
8/26/2025 14:51:31,Male,68
8/26/2025 14:51:31,Female,162
8/26/2025 14:51:32,Male,1.85
8/26/2025 14:51:32,Male,184
8/26/2025 14:51:32,Male,178
8/26/2025 14:51:33,Male,70
8/26/2025 14:51:34,Male,178
8/26/2025 14:51:36,Female,510
8/26/2025 14:51:36,Male,6
8/26/2025 14:51:37,Male,73
8/26/2025 14:51:37,Male,172
8/26/2025 14:51:38,Female,160
8/26/2025 14:51:38,Male,6
8/26/2025 14:51:40,Male,6
8/26/2025 14:51:40,Female,48
8/26/2025 14:51:40,Male,183
8/26/2025 14:51:42,Male,71
8/26/2025 14:51:42,Male,175
8/26/2025 14:51:43,Male,181
8/26/2025 14:51:44,Male,165
8/26/2025 14:51:45,Male,511
8/26/2025 14:51:45,Male,64
8/26/2025 14:51:46,Male,175
8/26/2025 14:51:47,Female,1
8/26/2025 14:51:47,Male,5.65
8/26/2025 14:51:47,Male,6.2
8/26/2025 14:51:48,Female,64
8/26/2025 14:51:50,Female,176
8/26/2025 14:51:50,Male,6
8/26/2025 14:51:50,Male,69
8/26/2025 14:51:50,Male,1.89
8/26/2025 14:51:50,Female,162
8/26/2025 14:51:50,Male,68
8/26/2025 14:51:50,Male,175
8/26/2025 14:51:51,Male,6
8/26/2025 14:51:51,Male,180
8/26/2025 14:51:51,Female,66
8/26/2025 14:51:52,Female,64
8/26/2025 14:51:53,Male,70
8/26/2025 14:51:54,Female,63
8/26/2025 14:51:54,Male,71
8/26/2025 14:51:55,Male,69
8/26/2025 14:51:55,Male,69
8/26/2025 14:51:56,Male,67
8/26/2025 14:51:57,Female,5.3
8/26/2025 14:51:57,Male,172
8/26/2025 14:51:57,Male,67
8/26/2025 14:51:58,Female,165
8/26/2025 14:51:58,Male,73
8/26/2025 14:51:59,Female,67
8/26/2025 14:51:59,Male,6
8/26/2025 14:51:59,Male,67
8/26/2025 14:51:59,Female,64
8/26/2025 14:52:01,Female,5.4
8/26/2025 14:52:01,Female,65
8/26/2025 14:52:03,Male,76
8/26/2025 14:52:03,Male,174
8/26/2025 14:52:04,Male,68
8/26/2025 14:52:04,Male,172
8/26/2025 14:52:04,Male,71
8/26/2025 14:52:04,Male,69
8/26/2025 14:52:04,Male,176
8/26/2025 14:52:05,Female,161
8/26/2025 14:52:05,Female,70
8/26/2025 14:52:05,Female,60
8/26/2025 14:52:05,Male,165
8/26/2025 14:52:06,Female,165
8/26/2025 14:52:07,Female,163
8/26/2025 14:52:07,Female,157
8/26/2025 14:52:08,Male,73
8/26/2025 14:52:08,Male,70
8/26/2025 14:52:09,Male,68
8/26/2025 14:52:09,Female,62
8/26/2025 14:52:10,Male,72
8/26/2025 14:52:11,Male,5.11
8/26/2025 14:52:11,Male,69
8/26/2025 14:52:11,Male,70
8/26/2025 14:52:11,Male,172
8/26/2025 14:52:12,Female,156
8/26/2025 14:52:14,Male,71
8/26/2025 14:52:14,Male,66
8/26/2025 14:52:14,Female,1.7
8/26/2025 14:52:18,Female,5
8/26/2025 14:52:18,Male,0.0017
8/26/2025 14:52:19,Male,71
8/26/2025 14:52:20,Female,65
8/26/2025 14:52:21,Female,168
8/26/2025 14:52:21,Male,70
8/26/2025 14:52:22,Male,70
8/26/2025 14:52:26,Male,180
8/26/2025 14:52:26,Male,71
8/26/2025 14:52:26,Female,66
8/26/2025 14:52:27,Prefer not to say,160
8/26/2025 14:52:29,Female,64
8/26/2025 14:52:30,Female,55
8/26/2025 14:52:30,Female,5.4
8/26/2025 14:52:32,Male,66
8/26/2025 14:52:33,Female,65
8/26/2025 14:52:33,Male,173
8/26/2025 14:52:33,Female,62
8/26/2025 14:52:36,Male,62
8/26/2025 14:52:39,Female,173
8/26/2025 14:52:42,Female,5.4
8/26/2025 14:52:42,Female,157
8/26/2025 14:52:44,Male,69
8/26/2025 14:52:45,Female,63.77
8/26/2025 14:52:51,Female,163
8/26/2025 14:52:51,Male,66
8/26/2025 14:52:54,Female,70
8/26/2025 14:53:09,Male,171
8/26/2025 14:53:48,Male,5.6
8/26/2025 14:55:01,Male,177
8/26/2025 15:03:56,Male,70
8/28/2025 11:05:22,Female,55
